2395	3405	 	0.72256778	-57.46309763	4.36
2402	3414	 	0.72446964	47.02463657	4.95
2405	3419	Diphda	0.7264523	-17.9866841	2.04
2423	3455	 	0.73650151	-10.60927365	4.77
2424	3456	 	0.73664316	-38.42197898	5.9
2437	3478	 	0.7406184	47.863963	5.66
2451	3504	 	0.74541725	48.28438262	4.48
2452	3505	 	0.74567703	-22.00633247	5.23
2460	3521	 	0.74920103	-42.67632489	5.94
2478	3544	 	0.75477874	55.2214087	5.41
2497	3572	 	0.76086424	74.9881262	5.64
2502	3583	 	0.76262055	-47.55217573	5.8
2518	3607	 	0.76989701	-22.52206718	5.49
2534	3632	 	0.77582666	15.47561194	5.36
2565	3675	 	0.78372955	11.97393464	5.51
2574	3693	 	0.78899727	24.26737703	4.08
2575	3697	 	0.78989538	6.74098135	5.98
2589	3717	 	0.79533382	-18.06142264	5.7
2592	3721	 	0.79611658	74.84758739	5.42
2607	3741	 	0.8002919	-21.72247464	5.57
2615	3750	 	0.80246541	72.67445774	5.86
2624	3760	 	0.8048179	7.29991977	5.92
2628	3765	96 G. Psc	0.80625919	5.28338873	5.74
2637	3781	 	0.80975515	-74.92335356	5.09
2640	3786	 	0.81135982	7.58520186	4.44
2650	3801	 	0.81388703	50.96819154	4.9
2658	3810	 	0.81630825	16.9411337	5.07
2666	3821	 	0.8180835	57.8165477	3.45
2675	3834	 	0.82052734	-24.13652681	5.9
2685	3849	 	0.82376491	-13.56101709	5.59
2704	3881	 	0.83023048	41.07895474	4.53
2707	3885	 	0.8314191	27.71031105	5.55
2726	3909	 	0.83547899	-10.64377045	5.17
2753	3949	 	0.84475779	-50.98692422	5.24
2754	3951	 	0.84543679	64.24758084	5.35
2859	4104	 	0.8779447	-24.00592567	5.47
2890	4147	 	0.88346958	-1.1442206	4.78
2894	4151	 	0.88452203	61.12355735	4.82
2932	4200	 	0.89382743	-62.87135327	5.73
2978	4267	 	0.90978333	19.18843611	5.8
2986	4283	 	0.91465655	83.70746159	5.59
2989	4288	 	0.91611663	23.62844595	5.46
2993	4292	 	0.91672028	58.97279657	4.83
2994	4293	 	0.91674982	-69.52697888	5.45
3035	4346	 	0.92844562	-7.34703997	5.88
3051	4371	 	0.93375167	-11.26650685	5.35
3081	4422	 	0.94444736	59.18116582	4.62
3084	4427	 	0.9451392	60.71674966	2.15
3092	4436	 	0.94586046	38.49925513	3.86
3096	4440	 	0.94637249	60.36284769	5.56
3113	4463	 	0.95345215	23.41775997	4.4
3152	4510	 	0.9639301	28.9922356	5.44
3186	4552	 	0.97060954	33.95105921	5.99
3200	4572	 	0.97527748	66.35182541	5.97
3203	4577	 	0.97676274	-29.35746436	4.3
3211	4587	 	0.97885764	-11.37993895	5.62
3267	4675	 	1.00098532	44.71330426	5.69
3330	4770	 	1.02172928	-38.91664868	5.59
3398	4852	 	1.04066048	-31.55204219	5.5
3422	4889	 	1.04696849	31.80433674	5.5
3423	4890	 	1.0469977	-46.39733801	5.39
3434	4903	 	1.04840996	41.34519861	5.95
3437	4906	 	1.04907107	7.89007256	4.27
3445	4914	 	1.05072351	-4.83635047	5.4
3474	4962	 	1.06027988	61.07482982	5.92
3501	4998	 	1.06733002	52.50230919	5.99
3515	5021	 	1.0720969	61.58024409	5.83
3560	5081	 	1.08481985	14.94600386	5.64
3589	5131	 	1.0947021	21.4732162	5.33
3590	5132	 	1.09491055	21.46547318	5.55
3613	5165	 	1.10141847	-46.71849042	3.32
3614	5164	 	1.101425	-9.83936845	5.58
3693	5268	 	1.12182573	-61.77526197	5.36
3713	5296	 	1.12947786	-9.78559168	5.71
3716	5300	 	1.12995146	-41.48693516	5.21
3723	5310	 	1.13253055	20.73932115	5.56
3727	5317	 	1.13353292	43.94224107	5.04
3738	5336	 	1.13692251	54.92422766	5.17
3744	5346	 	1.13953998	5.6502213	5.51
3746	5348	 	1.13973891	-55.24583235	3.94
3753	5361	 	1.14262436	58.26347937	5.77
3756	5364	 	1.14312879	-10.181928	3.45
3762	5372	 	1.14559982	86.25711803	4.24
3804	5434	 	1.15836727	47.2418241	4.26
3816	5447	Mirach	1.16216599	35.62083048	2.05
3821	5454	 	1.163668	19.6583854	5.57
3847	5493	 	1.17190197	42.08157668	5.67
3848	5494	 	1.17206928	25.45803989	5.81
3861	5510	 	1.17598814	2.44570842	5.97
3868	5518	 	1.17757375	68.77868759	5.32
3884	5542	 	1.18498074	55.14994765	4.34
3886	5544	 	1.18521479	31.42476555	5.15
3888	5550	 	1.18619138	37.72413814	5.8
3897	5566	 	1.19042126	64.20272388	5.56
3898	5571	 	1.19088726	21.03467568	4.66
3909	5586	 	1.19432964	30.08972962	4.51
3912	5589	 	1.19482467	65.01888517	5.57
3915	5594	 	1.19542848	-2.25102487	5.93
3933	5626	 	1.20458595	79.67397492	5.6
3957	5661	 	1.21260197	-37.85640391	5.95
4007	5737	 	1.22883399	7.57548895	5.21
4011	5742	 	1.22914867	24.58376482	4.67
4035	5778	 	1.23545783	16.13354221	5.97
4045	5799	 	1.23999082	-7.9235004	5.14
4064	5833	 	1.24699458	-0.97429411	5.7
4078	5862	 	1.25293547	-45.53209717	4.96
4106	5896	 	1.26263759	-68.87623708	4.99
4127	5926	 	1.2699727	71.74384538	5.87
4150	5951	 	1.27676298	-2.5002128	5.42
4225	6061	 	1.29666224	3.61452038	5.13
4313	6193	 	1.3244383	27.26408682	4.74
4335	6226	 	1.33008114	-0.5089949	5.87
4347	6242	 	1.33469935	58.2316161	4.95
4404	6315	 	1.35204276	28.73838983	5.23
4469	6411	 	1.37233139	45.5287566	4.87
4531	6492	 	1.39026457	20.4689899	5.97
4539	6502	 	1.39193557	-30.94550599	5.84
4547	6514	 	1.39459883	37.71499034	5.6
4562	6537	 	1.40040311	-8.18275372	3.6
4579	6564	 	1.40569025	-6.91466853	5.92
4598	6592	 	1.4113259	-41.49245885	5.42
4624	6631	 	1.41813208	-64.3694363	5.92
4654	6670	 	1.42700257	-14.59875437	4.9
4667	6686	 	1.43016751	60.23540347	2.66
4671	6692	 	1.4321956	68.12994739	4.72
4681	6706	 	1.43757739	19.17232096	5.35
4685	6711	 	1.43849971	43.45788606	5.98
4696	6732	 	1.44490194	19.24056476	5.5
4709	6748	 	1.44765455	-13.05653391	5.51
4758	6813	 	1.46085698	45.40695287	4.83
4797	6867	 	1.47276157	-43.31772906	3.41
4861	6960	 	1.49336117	-21.62934677	5.11
4887	6999	 	1.501695	47.00737711	5.27
4892	7007	 	1.50303973	6.14393314	4.84
4899	7016	 	1.50635465	-26.20785462	5.92
4944	7078	 	1.52042181	70.2647886	5.82
4948	7083	 	1.5208282	-49.07307701	3.93
4959	7097	 	1.52472051	15.34583101	3.62
4977	7118	 	1.52868099	-30.28292502	5.79
5039	7213	 	1.54890337	-36.86518161	5.49
5066	7251	 	1.55714106	58.32734523	5.69
5082	7276	 	1.56187029	-7.02514279	5.75
5098	7294	 	1.56553499	59.23209665	4.68
5114	7321	 	1.571277	37.23719753	5.9
5131	7345	 	1.57714483	-15.6763527	5.62
5141	7359	 	1.58029093	18.46067238	5.9
5201	7447	 	1.59851811	17.43378965	5.95
5204	7450	 	1.59971033	-15.40021584	5.41
5210	7463	 	1.60234141	-29.9074336	5.69
5246	7513	 	1.61332694	41.40638491	4.09
5261	7535	 	1.6183226	12.14151058	5.54
5286	7568	 	1.62438329	-84.76965017	5.66
5297	7588	Achernar	1.62854213	-57.23666007	0.45
5309	7601	 	1.6319389	-82.97528876	5.88
5315	7607	 	1.6331951	48.62848641	3.59
5324	7617	 	1.63543436	57.97764488	5.55
5340	7643	 	1.64097059	-36.5279533	5.94
5345	7650	 	1.64192808	73.04007203	5.28
5366	7679	 	1.64769661	-21.27547447	5.58
5392	7719	 	1.65583862	44.38612827	5.01
5406	7740	 	1.66132442	16.40588595	5.98
5416	7751	p Eridani	1.66312306	-56.19644067	5.9
5463	7818	 	1.67633449	40.57710624	4.96
5469	7825	 	1.67765566	43.29776385	5.63
5510	7884	 	1.69052987	5.48760445	4.45
5526	7906	 	1.69423393	30.04713542	5.97
5531	7916	 	1.69577724	-11.32366816	5.75
5533	7918	 	1.69625436	42.61380692	4.95
5535	7921	 	1.69665338	-60.78924102	5.7
5552	7941	 	1.70083755	-36.83226421	5.7
5554	7943	 	1.70095971	35.24576705	5.63
5565	7955	 	1.70240155	-32.32685759	5.25
5574	7965	 	1.705679	68.04304624	5.57
