1277	1755		0.37062485	-5.19188884	7.11
1289	1769		0.37322594	35.5363591	7.02
1300	1794		0.37994439	54.64544917	7.16
1303	1799		0.38050652	29.45430352	6.95
1306	1804		0.38107547	-37.40339893	7.03
1331	1849		0.3894794	-29.8471576	6.81
1335	1854		0.39027659	-18.89154631	7.11
1399	1954		0.41176096	-53.98392993	7.27
1400	1955		0.41230822	-51.04324736	6.81
1405	1962		0.41378798	-18.47171868	6.9
1433	2001		0.42280116	-39.26015325	6.91
1435	2003		0.42304797	-17.42752458	7.06
1457	2032		0.4293292	-27.71010361	6.88
1460	2036		0.43090008	71.80712256	6.91
1478	2063		0.43510085	55.49094765	7.12
1486	2076		0.43706324	-39.64919605	7.11
1488	2080		0.43791267	3.8257547	6.9
1495	2087		0.43939282	49.0490066	6.94
1508	2106		0.44497583	-69.30705534	6.98
1528	2138		0.45150695	-5.00374259	7.05
1529	2140		0.45192611	-9.87296309	7.29
1537	2151		0.45345728	49.98572998	6.95
1545	2166		0.45562908	2.81412038	7.18
1547	2169		0.45615598	-28.2431479	7.01
1561	2190		0.46119276	-16.40952353	7.2
1596	2239		0.47400432	-29.28464781	7.1
1598	2241		0.47436894	33.79896684	7.13
1599	2243		0.47460817	32.43779213	6.87
1601	2246		0.47587596	-11.23721888	6.86
1611	2263		0.48076183	-24.63668428	7.14
1617	2271		0.48249968	48.41371782	7.04
1635	2304		0.48975664	-40.66541214	6.82
1642	2312		0.491482	-3.46928805	6.95
1645	2315		0.49223224	10.38718283	7.29
1648	2320		0.49335088	62.06416651	7
1651	2323		0.49417037	-2.84032635	6.89
1679	2371		0.50454065	64.74898345	7.27
1707	2415		0.51310266	16.03761493	6.83
1718	2431		0.51664138	-10.08465275	6.86
1749	2479		0.52508936	11.53231372	7.18
1750	2480		0.52520479	20.82951512	7.17
1758	2490		0.52669136	16.02101606	6.89
1759	2491		0.52704427	9.16121584	6.99
1762	2496		0.52798329	-1.79363321	7.07
1764	2498		0.52819795	12.91388642	7.25
1773	2512		0.53084984	18.10554887	7.22
1775	2517		0.53191129	19.64295811	6.87
1784	2527		0.53463083	-18.22193008	7.07
1789	2537		0.53649505	53.81511065	6.94
1794	2543		0.53938388	58.33864189	7.1
1803	2557		0.5416704	51.728262	6.94
1815	2573		0.54429601	23.19336931	6.84
1817	2576		0.54533695	38.84382562	6.9
1822	2581		0.5465154	54.12003466	6.91
1831	2595		0.54883083	16.16716854	6.9
1855	2641		0.55809592	-0.60875174	7.18
1856	2642		0.55825049	-55.32833837	7.21
1858	2645		0.55899258	-38.11333796	7.27
1862	2649		0.56009666	-26.09180422	7.29
1897	2701		0.57205886	-42.43128561	6.88
1902	2708		0.57365012	-45.42586849	6.8
1903	2710		0.57422591	-6.50369569	6.9
1906	2713		0.57493177	-4.54653967	7.02
1935	2756		0.5864779	62.98938435	7.26
1955	2782		0.59140551	54.20349001	6.95
1965	2795		0.59313688	53.48890665	7.27
1966	2796		0.59365906	67.92595909	6.92
1978	2814		0.59685956	49.02115007	6.89
1994	2841		0.60022197	-59.71719483	6.91
2002	2851		0.60184465	38.25199607	7.08
2006	2856		0.60272004	24.02543793	7.23
2067	2936		0.62161156	11.43659254	7.04
2074	2944		0.62281171	-37.28798048	6.99
2077	2948		0.62400332	40.33238095	6.85
2092	2965		0.62797037	21.09977614	6.84
2094	2968		0.62935667	72.89485477	6.96
2115	2997		0.63509436	-41.59224002	7.23
2121	3006		0.63742018	84.67502086	7.11
2141	3035		0.64337829	-23.59913798	7.11
2145	3042	 	0.64462687	-73.13763182	6.87
2168	3070		0.64930789	26.32380637	6.92
2178	3084		0.65312228	-57.96778762	6.81
2197	3114		0.66059733	-85.70084431	6.81
2202	3122		0.66212324	-11.15047993	6.83
2232	3165		0.6721605	24.0538817	7.21
